"method","coverage","avg_width","median_width","lower_zero_rate","p","n","rho","rho_default","deff","n_eff","model"
"Agresti_Coull",0.4218,0.000389299884466052,0.000385708479026,0,0.001,1e+05,0.01,0,1,1e+05,"vasicek_eff_n"
"Clopper_Pearson",0.4287,0.000396051660191839,0.000392530390140354,0,0.001,1e+05,0.01,0,1,1e+05,"vasicek_eff_n"
"Wald",0.4126,0.000385392320912765,0.000381885792512565,0,0.001,1e+05,0.01,0,1,1e+05,"vasicek_eff_n"
"Wilson",0.4218,0.000387348062100033,0.000383798282785125,0,0.001,1e+05,0.01,0,1,1e+05,"vasicek_eff_n"
"Agresti_Coull",0.9173,0.00497883994738274,0.00494907018665738,0,0.005,1e+05,0.01,0.000287402232391379,29.7399358369056,3362.48203588609,"vasicek_eff_n"
"Clopper_Pearson",0.9266,0.00505490055888682,0.00502799345182694,0,0.005,1e+05,0.01,0.000287402232391379,29.7399358369056,3362.48203588609,"vasicek_eff_n"
"Wald",0.8861,0.00471292972668045,0.00468673397813704,0,0.005,1e+05,0.01,0.000287402232391379,29.7399358369056,3362.48203588609,"vasicek_eff_n"
"Wilson",0.9097,0.00484663360568314,0.0048184625539231,0,0.005,1e+05,0.01,0.000287402232391379,29.7399358369056,3362.48203588609,"vasicek_eff_n"
"Agresti_Coull",0.9916,0.0169134562589983,0.0168103350873426,0,0.01,1e+05,0.01,0.00148883639958477,149.882151122077,667.190851287899,"vasicek_eff_n"
"Clopper_Pearson",0.9959,0.0167801641079788,0.0166877220696946,0,0.01,1e+05,0.01,0.00148883639958477,149.882151122077,667.190851287899,"vasicek_eff_n"
"Wald",0.9937,0.0149470911816565,0.0148662186557055,0.029,0.01,1e+05,0.01,0.00148883639958477,149.882151122077,667.190851287899,"vasicek_eff_n"
"Wilson",0.9897,0.0159488618829445,0.0158509786486952,0,0.01,1e+05,0.01,0.00148883639958477,149.882151122077,667.190851287899,"vasicek_eff_n"
"Agresti_Coull",0.7582,0.0111741380896664,0.0111285434444735,0,0.02,1e+05,0.01,0.000398213094975273,40.8209112844323,2449.72483106071,"vasicek_eff_n"
"Clopper_Pearson",0.7665,0.0114130743005545,0.0113692023944354,0,0.02,1e+05,0.01,0.000398213094975273,40.8209112844323,2449.72483106071,"vasicek_eff_n"
"Wald",0.7351,0.0109754009548496,0.010931887050679,0,0.02,1e+05,0.01,0.000398213094975273,40.8209112844323,2449.72483106071,"vasicek_eff_n"
"Wilson",0.754,0.0110710712202226,0.0110264924773081,0,0.02,1e+05,0.01,0.000398213094975273,40.8209112844323,2449.72483106071,"vasicek_eff_n"
"Agresti_Coull",0.958,0.0417413570273123,0.0416509103705668,0,0.05,1e+05,0.01,0.00225596632526884,226.594376560558,441.317218537745,"vasicek_eff_n"
"Clopper_Pearson",0.9655,0.0428295299867602,0.0427482064504391,0,0.05,1e+05,0.01,0.00225596632526884,226.594376560558,441.317218537745,"vasicek_eff_n"
"Wald",0.9455,0.0404314991285082,0.0403521798011424,0,0.05,1e+05,0.01,0.00225596632526884,226.594376560558,441.317218537745,"vasicek_eff_n"
"Wilson",0.9541,0.0410093223521421,0.0409241242071785,0,0.05,1e+05,0.01,0.00225596632526884,226.594376560558,441.317218537745,"vasicek_eff_n"
"Agresti_Coull",0.9874,0.00680905845163307,0.00650771327380231,0.9178,0.001,1e+05,0.05,0.00112607417492173,113.606291417998,880.232940903458,"vasicek_eff_n"
"Clopper_Pearson",0.988,0.00595158238381159,0.00566318452783029,0,0.001,1e+05,0.05,0.00112607417492173,113.606291417998,880.232940903458,"vasicek_eff_n"
"Wald",0.957,0.00294114570848142,0.00260242993235775,0.9911,0.001,1e+05,0.05,0.00112607417492173,113.606291417998,880.232940903458,"vasicek_eff_n"
"Wilson",0.9702,0.00592240351942087,0.00567408879267615,0,0.001,1e+05,0.05,0.00112607417492173,113.606291417998,880.232940903458,"vasicek_eff_n"
"Agresti_Coull",0.9694,0.0186259795110146,0.0182291791828413,0.5973,0.005,1e+05,0.05,0.00255037300422144,256.03475004914,390.571982829704,"vasicek_eff_n"
"Clopper_Pearson",0.9757,0.0170415972288495,0.016423956944765,0,0.005,1e+05,0.05,0.00255037300422144,256.03475004914,390.571982829704,"vasicek_eff_n"
"Wald",0.9255,0.0113885606519473,0.0104548906900694,0.9101,0.005,1e+05,0.05,0.00255037300422144,256.03475004914,390.571982829704,"vasicek_eff_n"
"Wilson",0.9552,0.0165031723180531,0.0158987524580349,0,0.005,1e+05,0.05,0.00255037300422144,256.03475004914,390.571982829704,"vasicek_eff_n"
"Agresti_Coull",0.9698,0.0332086432508772,0.0328725014291371,0.4762,0.01,1e+05,0.05,0.0043714840114782,438.144029663809,228.235450513227,"vasicek_eff_n"
"Clopper_Pearson",0.9773,0.0308471153999658,0.0298504916720803,0,0.01,1e+05,0.05,0.0043714840114782,438.144029663809,228.235450513227,"vasicek_eff_n"
"Wald",0.9322,0.0218665807223732,0.0203421995342629,0.866,0.01,1e+05,0.05,0.0043714840114782,438.144029663809,228.235450513227,"vasicek_eff_n"
"Wilson",0.9564,0.0296307311316568,0.0286389858410471,0,0.01,1e+05,0.05,0.0043714840114782,438.144029663809,228.235450513227,"vasicek_eff_n"
"Agresti_Coull",0.9651,0.0551915045897613,0.054392468481986,0.279,0.02,1e+05,0.05,0.00680550690768307,681.543885261399,146.725694650824,"vasicek_eff_n"
"Clopper_Pearson",0.9765,0.0525003451554182,0.0513034785315582,0,0.02,1e+05,0.05,0.00680550690768307,681.543885261399,146.725694650824,"vasicek_eff_n"
"Wald",0.9328,0.0403227818195771,0.0388364250069961,0.7496,0.02,1e+05,0.05,0.00680550690768307,681.543885261399,146.725694650824,"vasicek_eff_n"
"Wilson",0.9536,0.0499013970660306,0.0486624125827914,0,0.02,1e+05,0.05,0.00680550690768307,681.543885261399,146.725694650824,"vasicek_eff_n"
"Agresti_Coull",0.9609,0.107325506999337,0.106045468444286,0.0773,0.05,1e+05,0.05,0.0123718332089313,1238.17094905993,80.7642919387863,"vasicek_eff_n"
"Clopper_Pearson",0.9735,0.106243420024069,0.104994748055161,0,0.05,1e+05,0.05,0.0123718332089313,1238.17094905993,80.7642919387863,"vasicek_eff_n"
"Wald",0.9349,0.0891683574885121,0.0910801433003535,0.494,0.05,1e+05,0.05,0.0123718332089313,1238.17094905993,80.7642919387863,"vasicek_eff_n"
"Wilson",0.954,0.099448132562778,0.0980863305633131,0,0.05,1e+05,0.05,0.0123718332089313,1238.17094905993,80.7642919387863,"vasicek_eff_n"
"Agresti_Coull",0.9871,0.0111163208117985,0.0105071421351219,0.9679,0.001,1e+05,0.1,0.00207726622028113,208.724544761892,479.100338266769,"vasicek_eff_n"
"Clopper_Pearson",0.9853,0.00942984788033614,0.00877733878377473,0.0028,0.001,1e+05,0.1,0.00207726622028113,208.724544761892,479.100338266769,"vasicek_eff_n"
"Wald",0.9017,0.00336779795913602,0.00264940744598109,0.9952,0.001,1e+05,0.1,0.00207726622028113,208.724544761892,479.100338266769,"vasicek_eff_n"
"Wilson",0.9656,0.00953735575242068,0.00897894275214592,0,0.001,1e+05,0.1,0.00207726622028113,208.724544761892,479.100338266769,"vasicek_eff_n"
"Agresti_Coull",0.9721,0.03300809639294,0.0308614791681569,0.8827,0.005,1e+05,0.1,0.00565054753653999,566.049103106462,176.663118890575,"vasicek_eff_n"
"Clopper_Pearson",0.9743,0.0291107559290713,0.0269135475645145,2e-04,0.005,1e+05,0.1,0.00565054753653999,566.049103106462,176.663118890575,"vasicek_eff_n"
"Wald",0.8988,0.014258176363736,0.0116542893896464,0.9783,0.005,1e+05,0.1,0.00565054753653999,566.049103106462,176.663118890575,"vasicek_eff_n"
"Wilson",0.9496,0.0287710999429751,0.026892810110823,1e-04,0.005,1e+05,0.1,0.00565054753653999,566.049103106462,176.663118890575,"vasicek_eff_n"
"Agresti_Coull",0.9698,0.0523298684389494,0.0493622529665874,0.8034,0.01,1e+05,0.1,0.00854364698577221,855.356154930235,116.910364675117,"vasicek_eff_n"
"Clopper_Pearson",0.9752,0.0471787342609831,0.0441345825248633,0,0.01,1e+05,0.1,0.00854364698577221,855.356154930235,116.910364675117,"vasicek_eff_n"
"Wald",0.893,0.026189658738623,0.0222783115047875,0.9654,0.01,1e+05,0.1,0.00854364698577221,855.356154930235,116.910364675117,"vasicek_eff_n"
"Wilson",0.9499,0.0459944443954057,0.0433377378627289,0,0.01,1e+05,0.1,0.00854364698577221,855.356154930235,116.910364675117,"vasicek_eff_n"
"Agresti_Coull",0.9707,0.0886182621687657,0.085309431719985,0.7245,0.02,1e+05,0.1,0.0142072482156897,1421.71061432075,70.3378022170684,"vasicek_eff_n"
"Clopper_Pearson",0.9777,0.0818109129538148,0.0780862778919293,0,0.02,1e+05,0.1,0.0142072482156897,1421.71061432075,70.3378022170684,"vasicek_eff_n"
"Wald",0.9033,0.0494515016858533,0.0441192923764325,0.9503,0.02,1e+05,0.1,0.0142072482156897,1421.71061432075,70.3378022170684,"vasicek_eff_n"
"Wilson",0.9544,0.0785224434547656,0.0751953484887204,0,0.02,1e+05,0.1,0.0142072482156897,1421.71061432075,70.3378022170684,"vasicek_eff_n"
"Agresti_Coull",0.9632,0.166117350446073,0.165868272862513,0.5023,0.05,1e+05,0.1,0.0259158529344752,2592.55937759458,38.5719227355871,"vasicek_eff_n"
"Clopper_Pearson",0.9757,0.160816067611107,0.156373253823599,0,0.05,1e+05,0.1,0.0259158529344752,2592.55937759458,38.5719227355871,"vasicek_eff_n"
"Wald",0.9117,0.111941310655875,0.104181907156876,0.882,0.05,1e+05,0.1,0.0259158529344752,2592.55937759458,38.5719227355871,"vasicek_eff_n"
"Wilson",0.9518,0.150010312991387,0.145820728877149,0,0.05,1e+05,0.1,0.0259158529344752,2592.55937759458,38.5719227355871,"vasicek_eff_n"
"Agresti_Coull",0.9921,0.0263039624764985,0.0252057090456758,0.9889,0.001,1e+05,0.2,0.00545797083369778,546.791625398945,182.885024852089,"vasicek_eff_n"
"Clopper_Pearson",0.9881,0.0217864560632302,0.0205232828858477,0.1229,0.001,1e+05,0.2,0.00545797083369778,546.791625398945,182.885024852089,"vasicek_eff_n"
"Wald",0.8152,0.00430008347794103,0.00265112537166014,0.9981,0.001,1e+05,0.2,0.00545797083369778,546.791625398945,182.885024852089,"vasicek_eff_n"
"Wilson",0.9658,0.0222158927396117,0.0210947735931164,0.0465,0.001,1e+05,0.2,0.00545797083369778,546.791625398945,182.885024852089,"vasicek_eff_n"
"Agresti_Coull",0.9846,0.0738282640500201,0.0696553760146308,0.971,0.005,1e+05,0.2,0.0152947793097035,1530.46263619104,65.3397199221253,"vasicek_eff_n"
"Clopper_Pearson",0.9832,0.0636565919819832,0.058878848335297,0.0312,0.005,1e+05,0.2,0.0152947793097035,1530.46263619104,65.3397199221253,"vasicek_eff_n"
"Wald",0.8301,0.0185999278105419,0.012906695111812,0.9947,0.005,1e+05,0.2,0.0152947793097035,1530.46263619104,65.3397199221253,"vasicek_eff_n"
"Wilson",0.9589,0.0632964802791709,0.0592131569973282,0.0029,0.005,1e+05,0.2,0.0152947793097035,1530.46263619104,65.3397199221253,"vasicek_eff_n"
"Agresti_Coull",0.9844,0.124485772444137,0.117752922530062,0.9597,0.01,1e+05,0.2,0.0267070898621013,2671.68227912027,37.4296003613603,"vasicek_eff_n"
"Clopper_Pearson",0.9851,0.110541055204743,0.102715771857397,0.0163,0.01,1e+05,0.2,0.0267070898621013,2671.68227912027,37.4296003613603,"vasicek_eff_n"
"Wald",0.8579,0.0358317239848084,0.0265115011275651,0.9943,0.01,1e+05,0.2,0.0267070898621013,2671.68227912027,37.4296003613603,"vasicek_eff_n"
"Wilson",0.9588,0.107669459042707,0.101159106243553,7e-04,0.01,1e+05,0.2,0.0267070898621013,2671.68227912027,37.4296003613603,"vasicek_eff_n"
"Agresti_Coull",0.9719,0.168816019534554,0.158833522767675,0.9142,0.02,1e+05,0.2,0.0358003052213142,3580.9947218262,27.9252017297035,"vasicek_eff_n"
"Clopper_Pearson",0.9792,0.155210023093242,0.143564539169931,0.0061,0.02,1e+05,0.2,0.0358003052213142,3580.9947218262,27.9252017297035,"vasicek_eff_n"
"Wald",0.8526,0.063501355308675,0.0494795159560778,0.9872,0.02,1e+05,0.2,0.0358003052213142,3580.9947218262,27.9252017297035,"vasicek_eff_n"
"Wilson",0.9499,0.147978315310953,0.138629578397446,1e-04,0.02,1e+05,0.2,0.0358003052213142,3580.9947218262,27.9252017297035,"vasicek_eff_n"
"Agresti_Coull",0.9592,0.268488898581146,0.255838239488132,0.7894,0.05,1e+05,0.2,0.0579349667717406,5794.43874220729,17.2579268586601,"vasicek_eff_n"
"Clopper_Pearson",0.9776,0.26280474486307,0.246705685770951,0.001,0.05,1e+05,0.2,0.0579349667717406,5794.43874220729,17.2579268586601,"vasicek_eff_n"
"Wald",0.8691,0.139863367096529,0.117547753114588,0.9688,0.05,1e+05,0.2,0.0579349667717406,5794.43874220729,17.2579268586601,"vasicek_eff_n"
"Wilson",0.9458,0.240789595100895,0.228523095295008,0,0.05,1e+05,0.2,0.0579349667717406,5794.43874220729,17.2579268586601,"vasicek_eff_n"
"Agresti_Coull",0.9955,0.0461681374487299,0.0449048592765906,0.9941,0.001,1e+05,0.25,0.0100334772473415,1004.3376912569,99.568104304492,"vasicek_eff_n"
"Clopper_Pearson",0.9912,0.0382533165367011,0.0367582175129962,0.275,0.001,1e+05,0.25,0.0100334772473415,1004.3376912569,99.568104304492,"vasicek_eff_n"
"Wald",0.7927,0.00517403531313614,0.002897219753874,0.9989,0.001,1e+05,0.25,0.0100334772473415,1004.3376912569,99.568104304492,"vasicek_eff_n"
"Wilson",0.9738,0.0388486003160521,0.0375120341633855,0.0959,0.001,1e+05,0.25,0.0100334772473415,1004.3376912569,99.568104304492,"vasicek_eff_n"
"Agresti_Coull",0.9894,0.104323328210894,0.0995455950185686,0.9819,0.005,1e+05,0.25,0.0231150182336319,2312.47870834495,43.2436413961927,"vasicek_eff_n"
"Clopper_Pearson",0.987,0.0903393862594447,0.0846536699475672,0.096,0.005,1e+05,0.25,0.0231150182336319,2312.47870834495,43.2436413961927,"vasicek_eff_n"
"Wald",0.8079,0.0204945499709904,0.0129376672149755,0.9971,0.005,1e+05,0.25,0.0231150182336319,2312.47870834495,43.2436413961927,"vasicek_eff_n"
"Wilson",0.9641,0.0891559571984001,0.0842562130448879,0.0129,0.005,1e+05,0.25,0.0231150182336319,2312.47870834495,43.2436413961927,"vasicek_eff_n"
"Agresti_Coull",0.9818,0.145366579754325,0.137621394193169,0.9669,0.01,1e+05,0.25,0.0326122521296136,3262.19260070923,30.6542292991098,"vasicek_eff_n"
"Clopper_Pearson",0.9828,0.129667525621398,0.120402928635878,0.0472,0.01,1e+05,0.25,0.0326122521296136,3262.19260070923,30.6542292991098,"vasicek_eff_n"
"Wald",0.8062,0.0369600452690777,0.0253097213508643,0.9945,0.01,1e+05,0.25,0.0326122521296136,3262.19260070923,30.6542292991098,"vasicek_eff_n"
"Wilson",0.9587,0.125537396546246,0.117780044558695,0.0021,0.01,1e+05,0.25,0.0326122521296136,3262.19260070923,30.6542292991098,"vasicek_eff_n"
"Agresti_Coull",0.9767,0.22033582342461,0.208219356812831,0.9442,0.02,1e+05,0.25,0.0522142617483028,5222.37396056853,19.1483797895457,"vasicek_eff_n"
"Clopper_Pearson",0.9822,0.205477678930109,0.190558007778958,0.0263,0.02,1e+05,0.25,0.0522142617483028,5222.37396056853,19.1483797895457,"vasicek_eff_n"
"Wald",0.836,0.0695747401209447,0.0502447385344754,0.9928,0.02,1e+05,0.25,0.0522142617483028,5222.37396056853,19.1483797895457,"vasicek_eff_n"
"Wilson",0.9587,0.192901605705996,0.180867969914128,9e-04,0.02,1e+05,0.25,0.0522142617483028,5222.37396056853,19.1483797895457,"vasicek_eff_n"
"Agresti_Coull",0.9613,0.314091596506655,0.297536035736441,0.8419,0.05,1e+05,0.25,0.0763086948008772,7631.79317139292,13.1030804627726,"vasicek_eff_n"
"Clopper_Pearson",0.9787,0.311412504147269,0.289797329913841,0.0038,0.05,1e+05,0.25,0.0763086948008772,7631.79317139292,13.1030804627726,"vasicek_eff_n"
"Wald",0.8358,0.146636631114019,0.116929624431458,0.9779,0.05,1e+05,0.25,0.0763086948008772,7631.79317139292,13.1030804627726,"vasicek_eff_n"
"Wilson",0.9484,0.281481225802842,0.265290196997149,0,0.05,1e+05,0.25,0.0763086948008772,7631.79317139292,13.1030804627726,"vasicek_eff_n"
