"p","n","rho","method","coverage_classic","width_classic","coverage_corrected","width_corrected","rho_default","deff","n_eff","coverage_change","width_change","width_ratio"
0.001,1e+05,0.01,"Agresti_Coull",0.4214,0.000389401349714871,0.4218,0.000389299884466052,0,1,1e+05,0.000400000000000011,-1.01465248818981e-07,0.999739432724377
0.001,1e+05,0.01,"Clopper_Pearson",0.429,0.000396153589482572,0.4287,0.000396051660191839,0,1,1e+05,-0.000299999999999967,-1.01929290733033e-07,0.999742702594551
0.001,1e+05,0.01,"Wald",0.4121,0.00038549433842746,0.4126,0.000385392320912765,0,1,1e+05,5e-04,-1.02017514695023e-07,0.999735359240005
0.001,1e+05,0.01,"Wilson",0.4214,0.000387449813453582,0.4218,0.000387348062100033,0,1,1e+05,0.000400000000000011,-1.01751353549003e-07,0.999737381849169
0.001,1e+05,0.1,"Agresti_Coull",0.1281,0.000343438783902528,0.9871,0.0111163208117985,0.00207726622028113,208.724544761892,479.100338266769,0.859,0.010772882027896,32.3676920977959
0.001,1e+05,0.1,"Clopper_Pearson",0.1308,0.000348435866129487,0.9853,0.00942984788033614,0.00207726622028113,208.724544761892,479.100338266769,0.8545,0.00908141201420665,27.0633674572175
0.001,1e+05,0.1,"Wald",0.126,0.000337208737179931,0.9017,0.00336779795913602,0.00207726622028113,208.724544761892,479.100338266769,0.7757,0.00303058922195609,9.98727965147296
0.001,1e+05,0.1,"Wilson",0.1281,0.000340476527208246,0.9656,0.00953735575242068,0.00207726622028113,208.724544761892,479.100338266769,0.8375,0.00919687922521243,28.0117863942713
0.001,1e+05,0.25,"Agresti_Coull",0.0571,0.000268902997188753,0.9955,0.0461681374487299,0.0100334772473415,1004.3376912569,99.568104304492,0.9384,0.0458992344515411,171.690676308538
0.001,1e+05,0.25,"Clopper_Pearson",0.0587,0.000269927653609828,0.9912,0.0382533165367011,0.0100334772473415,1004.3376912569,99.568104304492,0.9325,0.0379833888830913,141.716923127836
0.001,1e+05,0.25,"Wald",0.0555,0.000254433139569486,0.7927,0.00517403531313614,0.0100334772473415,1004.3376912569,99.568104304492,0.7372,0.00491960217356665,20.3355401025624
0.001,1e+05,0.25,"Wilson",0.0571,0.000264115251419786,0.9738,0.0388486003160521,0.0100334772473415,1004.3376912569,99.568104304492,0.9167,0.0385844850646323,147.089575884832
0.01,1e+05,0.01,"Agresti_Coull",0.181,0.00122391710238842,0.9916,0.0169134562589983,0.00148883639958477,149.882151122077,667.190851287899,0.8106,0.0156895391566099,13.8191191429488
0.01,1e+05,0.01,"Clopper_Pearson",0.1824,0.00123294441814058,0.9959,0.0167801641079788,0.00148883639958477,149.882151122077,667.190851287899,0.8135,0.0155472196898382,13.6098301440751
0.01,1e+05,0.01,"Wald",0.1801,0.00122275994144793,0.9937,0.0149470911816565,0.00148883639958477,149.882151122077,667.190851287899,0.8136,0.0137243312402086,12.2240602386409
0.01,1e+05,0.01,"Wilson",0.181,0.00122332694446825,0.9897,0.0159488618829445,0.00148883639958477,149.882151122077,667.190851287899,0.8087,0.0147255349384763,13.0372848853395
0.01,1e+05,0.1,"Agresti_Coull",0.0479,0.00113179359639521,0.9698,0.0523298684389494,0.00854364698577221,855.356154930235,116.910364675117,0.9219,0.0511980748425542,46.2362294729545
0.01,1e+05,0.1,"Clopper_Pearson",0.0482,0.00114048685896145,0.9752,0.0471787342609831,0.00854364698577221,855.356154930235,116.910364675117,0.927,0.0460382474020217,41.3671879603637
0.01,1e+05,0.1,"Wald",0.0482,0.00113023308595741,0.893,0.026189658738623,0.00854364698577221,855.356154930235,116.910364675117,0.8448,0.0250594256526656,23.171909461877
0.01,1e+05,0.1,"Wilson",0.0479,0.00113100330596831,0.9499,0.0459944443954057,0.00854364698577221,855.356154930235,116.910364675117,0.902,0.0448634410894374,40.6669407177616
0.01,1e+05,0.25,"Agresti_Coull",0.0242,0.000949888156132062,0.9818,0.145366579754325,0.0326122521296136,3262.19260070923,30.6542292991098,0.9576,0.144416691598193,153.035469298045
0.01,1e+05,0.25,"Clopper_Pearson",0.0244,0.000957339552079984,0.9828,0.129667525621398,0.0326122521296136,3262.19260070923,30.6542292991098,0.9584,0.128710186069318,135.445699845654
0.01,1e+05,0.25,"Wald",0.0244,0.000946676146526319,0.8062,0.0369600452690777,0.0326122521296136,3262.19260070923,30.6542292991098,0.7818,0.0360133691225514,39.0419103773733
0.01,1e+05,0.25,"Wilson",0.0242,0.00094838049437251,0.9587,0.125537396546246,0.0326122521296136,3262.19260070923,30.6542292991098,0.9345,0.124589016051873,132.370285229566
0.05,1e+05,0.01,"Agresti_Coull",0.1016,0.00268642444057354,0.958,0.0417413570273123,0.00225596632526884,226.594376560558,441.317218537745,0.8564,0.0390549325867388,15.5378861198868
0.05,1e+05,0.01,"Clopper_Pearson",0.1019,0.00269606786579851,0.9655,0.0428295299867602,0.00225596632526884,226.594376560558,441.317218537745,0.8636,0.0401334621209617,15.8859242862847
0.05,1e+05,0.01,"Wald",0.1006,0.00268602433939852,0.9455,0.0404314991285082,0.00225596632526884,226.594376560558,441.317218537745,0.8449,0.0377454747891097,15.0525438416399
0.05,1e+05,0.01,"Wilson",0.1016,0.00268619860953028,0.9541,0.0410093223521421,0.00225596632526884,226.594376560558,441.317218537745,0.8525,0.0383231237426118,15.2666754448634
0.05,1e+05,0.1,"Agresti_Coull",0.0259,0.00253143684879917,0.9632,0.166117350446073,0.0259158529344752,2592.55937759458,38.5719227355871,0.9373,0.163585913597274,65.6217635944083
0.05,1e+05,0.1,"Clopper_Pearson",0.0259,0.00254099013089197,0.9757,0.160816067611107,0.0259158529344752,2592.55937759458,38.5719227355871,0.9498,0.158275077480215,63.2887415248068
0.05,1e+05,0.1,"Wald",0.0254,0.00253092661093727,0.9117,0.111941310655875,0.0259158529344752,2592.55937759458,38.5719227355871,0.8863,0.109410384044938,44.2293783518362
0.05,1e+05,0.1,"Wilson",0.0259,0.00253115746076941,0.9518,0.150010312991387,0.0259158529344752,2592.55937759458,38.5719227355871,0.9259,0.147479155530618,59.2655001976003
0.05,1e+05,0.25,"Agresti_Coull",0.0185,0.00227093132979371,0.9613,0.314091596506655,0.0763086948008772,7631.79317139292,13.1030804627726,0.9428,0.311820665176861,138.309596765829
0.05,1e+05,0.25,"Clopper_Pearson",0.0185,0.00228018885533822,0.9787,0.311412504147269,0.0763086948008772,7631.79317139292,13.1030804627726,0.9602,0.309132315291931,136.573119116082
0.05,1e+05,0.25,"Wald",0.0184,0.00227005826933268,0.8358,0.146636631114019,0.0763086948008772,7631.79317139292,13.1030804627726,0.8174,0.144366572844686,64.5959767178687
0.05,1e+05,0.25,"Wilson",0.0185,0.00227047614428956,0.9484,0.281481225802842,0.0763086948008772,7631.79317139292,13.1030804627726,0.9299,0.279210749658552,123.97453569851
