"method","p","n","rho","width_vasicek","width_ind","width_diff"
"Wilson",0.01,25000,0.05,0.00233967116491698,0.00246929492644737,-0.00012962376153039
"Agresti_Coull",0.01,25000,0.1,0.00224558645843032,0.00247388500780204,-0.00022829854937172
"Clopper_Pearson",0.01,25000,0.1,0.00227508971327542,0.00250631600170345,-0.00023122628842803
"Wald",0.01,25000,0.1,0.00223302668253021,0.00246488490676366,-0.00023185822423345
"Wilson",0.01,25000,0.1,0.00223925387929024,0.00246929492644737,-0.00023004104715713
"Agresti_Coull",0.01,25000,0.2,0.00204078793058611,0.00247388500780204,-0.00043309707721593
"Clopper_Pearson",0.01,25000,0.2,0.0020653681004362,0.00250631600170345,-0.00044094790126725
"Wald",0.01,25000,0.2,0.00202136513973016,0.00246488490676366,-0.0004435197670335
"Wilson",0.01,25000,0.2,0.00203167344974731,0.00246929492644737,-0.00043762147670006
"Agresti_Coull",0.01,25000,0.25,0.00192033026718701,0.00247388500780204,-0.00055355474061503
"Clopper_Pearson",0.01,25000,0.25,0.00194165752727895,0.00250631600170345,-0.0005646584744245
"Wald",0.01,25000,0.25,0.00189535754201972,0.00246488490676366,-0.00056952736474394
"Wilson",0.01,25000,0.25,0.00190952786229002,0.00246929492644737,-0.00055976706415735
"Agresti_Coull",0.01,50000,0.01,0.00172629655053439,0.00174699985004854,-2.070329951415e-05
"Clopper_Pearson",0.01,50000,0.01,0.00174353441199779,0.00176432375732247,-2.07893453246801e-05
"Wald",0.01,50000,0.01,0.00172301038003758,0.00174381773846568,-2.08073584281e-05
"Wilson",0.01,50000,0.01,0.00172462131956177,0.00174537612222097,-2.07548026592e-05
"Agresti_Coull",0.01,50000,0.05,0.00166271688420035,0.00174699985004854,-8.428296584819e-05
"Clopper_Pearson",0.01,50000,0.05,0.00167960262771142,0.00176432375732247,-8.472112961105e-05
"Wald",0.01,50000,0.05,0.00165900518249612,0.00174381773846568,-8.481255596956e-05
"Wilson",0.01,50000,0.05,0.00166083088437018,0.00174537612222097,-8.454523785079e-05
"Agresti_Coull",0.01,50000,0.1,0.00158037034004126,0.00174699985004854,-0.00016662951000728
"Clopper_Pearson",0.01,50000,0.1,0.00159662918005686,0.00176432375732247,-0.00016769457726561
"Wald",0.01,50000,0.1,0.00157589976176257,0.00174381773846568,-0.00016791797670311
"Wilson",0.01,50000,0.1,0.00157811001744801,0.00174537612222097,-0.00016726610477296
"Agresti_Coull",0.01,50000,0.2,0.00142771737588131,0.00174699985004854,-0.00031928247416723
"Clopper_Pearson",0.01,50000,0.2,0.00144195670536816,0.00176432375732247,-0.00032236705195431
"Wald",0.01,50000,0.2,0.0014205403727391,0.00174381773846568,-0.00032327736572658
"Wilson",0.01,50000,0.2,0.00142429669870757,0.00174537612222097,-0.0003210794235134
"Agresti_Coull",0.01,50000,0.25,0.00133787011481066,0.00174699985004854,-0.00040912973523788
"Clopper_Pearson",0.01,50000,0.25,0.00135083571511413,0.00176432375732247,-0.00041348804220834
"Wald",0.01,50000,0.25,0.00132869339651965,0.00174381773846568,-0.00041512434194603
"Wilson",0.01,50000,0.25,0.00133376065991151,0.00174537612222097,-0.00041161546230946
"Agresti_Coull",0.01,1e+05,0.01,0.00122391710238842,0.00123449104118451,-1.057393879609e-05
"Clopper_Pearson",0.01,1e+05,0.01,0.00123294441814058,0.00124354492977222,-1.060051163164e-05
"Wald",0.01,1e+05,0.01,0.00122275994144793,0.00123336598068558,-1.060603923765e-05
"Wilson",0.01,1e+05,0.01,0.00122332694446825,0.0012339168113179,-1.05898668496501e-05
"Agresti_Coull",0.01,1e+05,0.05,0.00117685552424904,0.00123449104118451,-5.76355169354698e-05
"Clopper_Pearson",0.01,1e+05,0.05,0.0011857516596248,0.00124354492977222,-5.77932701474201e-05
"Wald",0.01,1e+05,0.05,0.00117553992220499,0.00123336598068558,-5.78260584805899e-05
"Wilson",0.01,1e+05,0.05,0.00117618674604568,0.0012339168113179,-5.77300652722201e-05
"Agresti_Coull",0.01,1e+05,0.1,0.00113179359639521,0.00123449104118451,-0.0001026974447893
"Clopper_Pearson",0.01,1e+05,0.1,0.00114048685896145,0.00124354492977222,-0.00010305807081077
"Wald",0.01,1e+05,0.1,0.00113023308595741,0.00123336598068558,-0.00010313289472817
"Wilson",0.01,1e+05,0.1,0.00113100330596831,0.0012339168113179,-0.00010291350534959
"Agresti_Coull",0.01,1e+05,0.2,0.00100806540115807,0.00123449104118451,-0.00022642564002644
"Clopper_Pearson",0.01,1e+05,0.2,0.00101607091732995,0.00124354492977222,-0.00022747401244227
"Wald",0.01,1e+05,0.2,0.00100563724426373,0.00123336598068558,-0.00022772873642185
"Wilson",0.01,1e+05,0.2,0.00100687002314473,0.0012339168113179,-0.00022704678817317
"Agresti_Coull",0.01,1e+05,0.25,0.000949888156132062,0.00123449104118451,-0.000284602885052448
"Clopper_Pearson",0.01,1e+05,0.25,0.000957339552079984,0.00124354492977222,-0.000286205377692236
"Wald",0.01,1e+05,0.25,0.000946676146526319,0.00123336598068558,-0.000286689834159261
"Wilson",0.01,1e+05,0.25,0.00094838049437251,0.0012339168113179,-0.00028553631694539
"Agresti_Coull",0.02,5000,0.01,0.00777180500943313,0.00783024581896217,-5.844080952904e-05
"Clopper_Pearson",0.02,5000,0.01,0.00791338171163226,0.00797325957880538,-5.98778671731196e-05
"Wald",0.02,5000,0.01,0.00770321655746254,0.00776340619815505,-6.01896406925099e-05
"Wilson",0.02,5000,0.01,0.00773613532751997,0.00779542815536752,-5.92928278475499e-05
"Agresti_Coull",0.02,5000,0.05,0.00749160799888344,0.00783024581896217,-0.00033863782007873
"Clopper_Pearson",0.02,5000,0.05,0.00762611503695615,0.00797325957880538,-0.00034714454184923
"Wald",0.02,5000,0.05,0.00741440508260005,0.00776340619815505,-0.000349001115555
"Wilson",0.02,5000,0.05,0.0074517588784915,0.00779542815536752,-0.00034366927687602
"Agresti_Coull",0.02,5000,0.1,0.00722335170108063,0.00783024581896217,-0.00060689411788154
"Clopper_Pearson",0.02,5000,0.1,0.00734789233980212,0.00797325957880538,-0.000625367239003261
"Wald",0.02,5000,0.1,0.00713369734186987,0.00776340619815505,-0.00062970885628518
"Wilson",0.02,5000,0.1,0.00717767990224593,0.00779542815536752,-0.00061774825312159
"Agresti_Coull",0.02,5000,0.2,0.0066598384745033,0.00783024581896217,-0.00117040734445887
"Clopper_Pearson",0.02,5000,0.2,0.00675663684735055,0.00797325957880538,-0.00121662273145483
"Wald",0.02,5000,0.2,0.00652709310234299,0.00776340619815505,-0.00123631309581206
"Wilson",0.02,5000,0.2,0.00659911430784394,0.00779542815536752,-0.00119631384752358
"Agresti_Coull",0.02,5000,0.25,0.00637336156868901,0.00783024581896217,-0.00145688425027316
"Clopper_Pearson",0.02,5000,0.25,0.00645363623160885,0.00797325957880538,-0.00151962334719653
"Wald",0.02,5000,0.25,0.00620949141533286,0.00776340619815505,-0.00155391478282219
"Wilson",0.02,5000,0.25,0.00630456583187585,0.00779542815536752,-0.00149086232349167
"Agresti_Coull",0.02,10000,0.01,0.00546954087157305,0.00550666514975859,-3.71242781855401e-05
"Clopper_Pearson",0.02,10000,0.01,0.00554883965787017,0.00558645427366836,-3.76146157981903e-05
"Wald",0.02,10000,0.01,0.00544523411062995,0.00548295358965989,-3.77194790299401e-05
"Wilson",0.02,10000,0.01,0.00545688298845467,0.00549429936612312,-3.74163776684497e-05
"Agresti_Coull",0.02,10000,0.05,0.00531962446439764,0.00550666514975859,-0.00018704068536095
"Clopper_Pearson",0.02,10000,0.05,0.00539671433875724,0.00558645427366836,-0.00018973993491112
"Wald",0.02,10000,0.05,0.00529263644840102,0.00548295358965989,-0.00019031714125887
"Wilson",0.02,10000,0.05,0.00530565193421085,0.00549429936612312,-0.00018864743191227
"Agresti_Coull",0.02,10000,0.1,0.00508558475512008,0.00550666514975859,-0.00042108039463851
"Clopper_Pearson",0.02,10000,0.1,0.00515889053750013,0.00558645427366836,-0.00042756373616823
"Wald",0.02,10000,0.1,0.00505399132449245,0.00548295358965989,-0.00042896226516744
"Wilson",0.02,10000,0.1,0.00506936968726857,0.00549429936612312,-0.00042492967885455
"Agresti_Coull",0.02,10000,0.2,0.0046792038530963,0.00550666514975859,-0.00082746129666229
"Clopper_Pearson",0.02,10000,0.2,0.00474123981392049,0.00558645427366836,-0.000845214459747869
"Wald",0.02,10000,0.2,0.00463163041757979,0.00548295358965989,-0.0008513231720801
"Wilson",0.02,10000,0.2,0.00465664759214428,0.00549429936612312,-0.00083765177397884
"Agresti_Coull",0.02,10000,0.25,0.00447700471897125,0.00550666514975859,-0.00102966043078734
"Clopper_Pearson",0.02,10000,0.25,0.00453249237529228,0.00558645427366836,-0.00105396189837608
"Wald",0.02,10000,0.25,0.00441857326656531,0.00548295358965989,-0.00106438032309458
"Wilson",0.02,10000,0.25,0.00445101766997669,0.00549429936612312,-0.00104328169614643
"Agresti_Coull",0.02,25000,0.01,0.00345051488203832,0.00347571491290848,-2.52000308701601e-05
"Clopper_Pearson",0.02,25000,0.01,0.00348527491615896,0.00351060139630082,-2.53264801418603e-05
"Wald",0.02,25000,0.01,0.00344436080133243,0.00346971418598104,-2.53533846486099e-05
"Wilson",0.02,25000,0.01,0.00344730739149699,0.00347258293488421,-2.52755433872202e-05
"Agresti_Coull",0.02,25000,0.05,0.00334790383899168,0.00347571491290848,-0.0001278110739168
"Clopper_Pearson",0.02,25000,0.05,0.00338207625710777,0.00351060139630082,-0.00012852513919305
"Wald",0.02,25000,0.05,0.00334103753903915,0.00346971418598104,-0.00012867664694189
"Wilson",0.02,25000,0.05,0.0033443454153527,0.00347258293488421,-0.00012823751953151
"Agresti_Coull",0.02,25000,0.1,0.00322250811083404,0.00347571491290848,-0.00025320680207444
"Clopper_Pearson",0.02,25000,0.1,0.00325575582748339,0.00351060139630082,-0.00025484556881743
"Wald",0.02,25000,0.1,0.00321451796577372,0.00346971418598104,-0.00025519622020732
"Wilson",0.02,25000,0.1,0.00321839832525614,0.00347258293488421,-0.00025418460962807
"Agresti_Coull",0.02,25000,0.2,0.00290145197420984,0.00347571491290848,-0.00057426293869864
"Clopper_Pearson",0.02,25000,0.2,0.00293168677356461,0.00351060139630082,-0.00057891462273621
"Wald",0.02,25000,0.2,0.00288961360343208,0.00346971418598104,-0.00058010058254896
"Wilson",0.02,25000,0.2,0.00289558164427025,0.00347258293488421,-0.00057700129061396
"Agresti_Coull",0.02,25000,0.25,0.00278152946725931,0.00347571491290848,-0.00069418544564917
"Clopper_Pearson",0.02,25000,0.25,0.00280955565448338,0.00351060139630082,-0.00070104574181744
"Wald",0.02,25000,0.25,0.00276646693316536,0.00346971418598104,-0.00070324725281568
"Wilson",0.02,25000,0.25,0.00277442312107024,0.00347258293488421,-0.00069815981381397
"Agresti_Coull",0.02,50000,0.01,0.00243818151616121,0.00245617792987496,-1.799641371375e-05
"Clopper_Pearson",0.02,50000,0.01,0.00245632849040981,0.00247437023021452,-1.804173980471e-05
"Wald",0.02,50000,0.01,0.00243600486382807,0.00245405622418195,-1.80513603538798e-05
"Wilson",0.02,50000,0.01,0.00243704673059009,0.00245507023682232,-1.802350623223e-05
"Agresti_Coull",0.02,50000,0.05,0.0023713554275976,0.00245617792987496,-8.48225022773599e-05
"Clopper_Pearson",0.02,50000,0.05,0.00238930653555389,0.00247437023021452,-8.50636946606296e-05
"Wald",0.02,50000,0.05,0.0023689415373498,0.00245405622418195,-8.511468683215e-05
"Wilson",0.02,50000,0.05,0.00237010351214872,0.00245507023682232,-8.49667246736003e-05
"Agresti_Coull",0.02,50000,0.1,0.00227207371040727,0.00245617792987496,-0.00018410421946769
"Clopper_Pearson",0.02,50000,0.1,0.00228967310280232,0.00247437023021452,-0.0001846971274122
"Wald",0.02,50000,0.1,0.00226923405232003,0.00245405622418195,-0.00018482217186192
"Wilson",0.02,50000,0.1,0.00227061152037766,0.00245507023682232,-0.00018445871644466
"Agresti_Coull",0.02,50000,0.2,0.00207061903046224,0.00245617792987496,-0.00038555889941272
"Clopper_Pearson",0.02,50000,0.2,0.00208713025150431,0.00247437023021452,-0.00038723997871021
"Wald",0.02,50000,0.2,0.00206643594420119,0.00245405622418195,-0.00038762027998076
"Wilson",0.02,50000,0.2,0.00206851243841251,0.00245507023682232,-0.00038655779840981
"Agresti_Coull",0.02,50000,0.25,0.00196598179363947,0.00245617792987496,-0.00049019613623549
"Clopper_Pearson",0.02,50000,0.25,0.00198157999303303,0.00247437023021452,-0.00049279023718149
"Wald",0.02,50000,0.25,0.00196051876240097,0.00245405622418195,-0.00049353746178098
"Wilson",0.02,50000,0.25,0.00196335728081308,0.00245507023682232,-0.00049171295600924
"Agresti_Coull",0.02,1e+05,0.01,0.00172082592679934,0.00173613861718981,-1.531269039047e-05
"Clopper_Pearson",0.02,1e+05,0.01,0.00173016951992629,0.00174549952561589,-1.53300056895999e-05
"Wald",0.02,1e+05,0.01,0.00172005471075734,0.00173538840406075,-1.53336933034099e-05
"Wilson",0.02,1e+05,0.01,0.00172042385855265,0.00173574689680993,-1.532303825728e-05
"Agresti_Coull",0.02,1e+05,0.05,0.00166952916933447,0.00173613861718981,-6.66094478553401e-05
"Clopper_Pearson",0.02,1e+05,0.05,0.00167879903001699,0.00174549952561589,-6.67004955989001e-05
"Wald",0.02,1e+05,0.05,0.00166866865987813,0.00173538840406075,-6.67197441826198e-05
"Wilson",0.02,1e+05,0.05,0.00166908298596032,0.00173574689680993,-6.66639108496099e-05
"Agresti_Coull",0.02,1e+05,0.1,0.00160593298478771,0.00173613861718981,-0.0001302056324021
"Clopper_Pearson",0.02,1e+05,0.1,0.001615085140394,0.00174549952561589,-0.00013041438522189
"Wald",0.02,1e+05,0.1,0.00160493008771397,0.00173538840406075,-0.00013045831634678
"Wilson",0.02,1e+05,0.1,0.00160541634122348,0.00173574689680993,-0.00013033055558645
"Agresti_Coull",0.02,1e+05,0.2,0.00146952016454534,0.00173613861718981,-0.00026661845264447
"Clopper_Pearson",0.02,1e+05,0.2,0.00147828248651104,0.00174549952561589,-0.00026721703910485
"Wald",0.02,1e+05,0.2,0.00146803729634264,0.00173538840406075,-0.00026735110771811
"Wilson",0.02,1e+05,0.2,0.00146877185248057,0.00173574689680993,-0.00026697504432936
"Agresti_Coull",0.02,1e+05,0.25,0.00141561719423683,0.00173613861718981,-0.00032052142295298
"Clopper_Pearson",0.02,1e+05,0.25,0.00142407818024977,0.00174549952561589,-0.00032142134536612
"Wald",0.02,1e+05,0.25,0.0014137361106493,0.00173538840406075,-0.00032165229341145
"Wilson",0.02,1e+05,0.25,0.00141469391841461,0.00173574689680993,-0.00032105297839532
"Agresti_Coull",0.05,5000,0.01,0.0120426909977525,0.0121066936801868,-6.40026824342988e-05
"Clopper_Pearson",0.05,5000,0.01,0.0122107805771096,0.0122754471347174,-6.46665576077999e-05
"Wald",0.05,5000,0.01,0.012006972713805,0.0120717892908024,-6.48165769974e-05
"Wilson",0.05,5000,0.01,0.0120225527496542,0.0120869480019364,-6.43952522822004e-05
"Agresti_Coull",0.05,5000,0.05,0.0117422813427421,0.0121066936801868,-0.000364412337444699
"Clopper_Pearson",0.05,5000,0.05,0.0119072510639008,0.0122754471347174,-0.0003681960708166
"Wald",0.05,5000,0.05,0.0117027368955009,0.0120717892908024,-0.000369052395301502
"Wilson",0.05,5000,0.05,0.0117202997235829,0.0120869480019364,-0.000366648278353501
"Agresti_Coull",0.05,5000,0.1,0.0114343372025511,0.0121066936801868,-0.000672356477635699
"Clopper_Pearson",0.05,5000,0.1,0.0115949891007993,0.0122754471347174,-0.000680458033918101
"Wald",0.05,5000,0.1,0.0113894893976725,0.0120717892908024,-0.000682299893129901
"Wilson",0.05,5000,0.1,0.011409806951447,0.0120869480019364,-0.0006771410504894
"Agresti_Coull",0.05,5000,0.2,0.0106274058024962,0.0121066936801868,-0.0014792878776906
"Clopper_Pearson",0.05,5000,0.2,0.0107738761134474,0.0122754471347174,-0.00150157102127
"Wald",0.05,5000,0.2,0.0105643909056384,0.0120717892908024,-0.001507398385164
"Wilson",0.05,5000,0.2,0.0105946292924317,0.0120869480019364,-0.0014923187095047
"Agresti_Coull",0.05,5000,0.25,0.0102029055596734,0.0121066936801868,-0.0019037881205134
"Clopper_Pearson",0.05,5000,0.25,0.0103391342513801,0.0122754471347174,-0.0019363128833373
"Wald",0.05,5000,0.25,0.0101245394498575,0.0120717892908024,-0.0019472498409449
"Wilson",0.05,5000,0.25,0.0101645141009195,0.0120869480019364,-0.0019224339010169
"Agresti_Coull",0.05,10000,0.01,0.00849623792330047,0.00855298053386397,-5.67426105635011e-05
"Clopper_Pearson",0.05,10000,0.01,0.0085849372158305,0.00864194033156682,-5.70031157363197e-05
"Wald",0.05,10000,0.01,0.00848357540358631,0.00854063779405561,-5.70623904692993e-05
"Wilson",0.05,10000,0.01,0.0084890967384328,0.00854599339731999,-5.68966588871886e-05
"Agresti_Coull",0.05,10000,0.05,0.00828376845638043,0.00855298053386397,-0.00026921207748354
"Clopper_Pearson",0.05,10000,0.05,0.00837136577961644,0.00864194033156682,-0.00027057455195038
"Wald",0.05,10000,0.05,0.00826975590803514,0.00854063779405561,-0.000270881886020469
"Wilson",0.05,10000,0.05,0.00827597475019098,0.00854599339731999,-0.000270018647129009
"Agresti_Coull",0.05,10000,0.1,0.00804667527299105,0.00855298053386397,-0.000506305260872921
"Clopper_Pearson",0.05,10000,0.1,0.00813261552068534,0.00864194033156682,-0.00050932481088148
"Wald",0.05,10000,0.1,0.00803064012495905,0.00854063779405561,-0.000509997669096559
"Wilson",0.05,10000,0.1,0.0080378982822548,0.00854599339731999,-0.00050809511506519
"Agresti_Coull",0.05,10000,0.2,0.00749953387352998,0.00855298053386397,-0.00105344666033399
"Clopper_Pearson",0.05,10000,0.2,0.00758031785519544,0.00864194033156682,-0.00106162247637138
"Wald",0.05,10000,0.2,0.00747703269358571,0.00854063779405561,-0.0010636051004699
"Wilson",0.05,10000,0.2,0.00748772822647947,0.00854599339731999,-0.00105826517084052
"Agresti_Coull",0.05,10000,0.25,0.00724384683023008,0.00855298053386397,-0.00130913370363389
"Clopper_Pearson",0.05,10000,0.25,0.00732109869555381,0.00864194033156682,-0.00132084163601301
"Wald",0.05,10000,0.25,0.00721655046417626,0.00854063779405561,-0.00132408732987935
"Wilson",0.05,10000,0.25,0.00723002294012422,0.00854599339731999,-0.00131597045719577
"Agresti_Coull",0.05,25000,0.01,0.00537403350385305,0.00540632845259306,-3.22949487400106e-05
"Clopper_Pearson",0.05,25000,0.01,0.00541118009358808,0.005443537314824,-3.23572212359204e-05
"Wald",0.05,25000,0.01,0.00537083419692841,0.00540320548103834,-3.23712841099298e-05
"Wilson",0.05,25000,0.01,0.0053722280167186,0.00540455985454328,-3.23318378246795e-05
"Agresti_Coull",0.05,25000,0.05,0.00524950355314189,0.00540632845259306,-0.000156824899451171
"Clopper_Pearson",0.05,25000,0.05,0.00528637796978201,0.005443537314824,-0.00015715934504199
"Wald",0.05,25000,0.05,0.00524597129234655,0.00540320548103834,-0.00015723418869179
"Wilson",0.05,25000,0.05,0.00524753658162137,0.00540455985454328,-0.00015702327292191
"Agresti_Coull",0.05,25000,0.1,0.00506680759191504,0.00540632845259306,-0.00033952086067802
"Clopper_Pearson",0.05,25000,0.1,0.00510323686935932,0.005443537314824,-0.00034030044546468
"Wald",0.05,25000,0.1,0.00506273156544033,0.00540320548103834,-0.00034047391559801
"Wilson",0.05,25000,0.1,0.00506457628751229,0.00540455985454328,-0.000339983567030989
"Agresti_Coull",0.05,25000,0.2,0.00470961575663446,0.00540632845259306,-0.0006967126959586
"Clopper_Pearson",0.05,25000,0.2,0.00474470950611148,0.005443537314824,-0.000698827808712521
"Wald",0.05,25000,0.2,0.00470388495712216,0.00540320548103834,-0.000699320523916179
"Wilson",0.05,25000,0.2,0.00470659465901158,0.00540455985454328,-0.000697965195531699
"Agresti_Coull",0.05,25000,0.25,0.0045130380462577,0.00540632845259306,-0.00089329040633536
"Clopper_Pearson",0.05,25000,0.25,0.004547146391001,0.005443537314824,-0.000896390923823
"Wald",0.05,25000,0.25,0.00450605452319363,0.00540320548103834,-0.00089715095784471
"Wilson",0.05,25000,0.25,0.00450944187334963,0.00540455985454328,-0.00089511798119365
"Agresti_Coull",0.05,50000,0.01,0.00379716997937965,0.00382144013854185,-2.42701591622002e-05
"Clopper_Pearson",0.05,50000,0.01,0.00381616067481349,0.00384045341684667,-2.42927420331801e-05
"Wald",0.05,50000,0.01,0.00379603773242824,0.00382033558773252,-2.429785530428e-05
"Wilson",0.05,50000,0.01,0.00379653103009481,0.00382081456433964,-2.42835342448302e-05
"Agresti_Coull",0.05,50000,0.05,0.00370446650735024,0.00382144013854185,-0.00011697363119161
"Clopper_Pearson",0.05,50000,0.05,0.00372335793046282,0.00384045341684667,-0.00011709548638385
"Wald",0.05,50000,0.05,0.00370321280412527,0.00382033558773252,-0.00011712278360725
"Wilson",0.05,50000,0.05,0.00370376864843625,0.00382081456433964,-0.00011704591590339
"Agresti_Coull",0.05,50000,0.1,0.00358757755797839,0.00382144013854185,-0.00023386258056346
"Clopper_Pearson",0.05,50000,0.1,0.0036063177415512,0.00384045341684667,-0.00023413567529547
"Wald",0.05,50000,0.1,0.0035861393156969,0.00382033558773252,-0.00023419627203562
"Wilson",0.05,50000,0.1,0.0035867897691035,0.00382081456433964,-0.00023402479523614
"Agresti_Coull",0.05,50000,0.2,0.00331898660279639,0.00382144013854185,-0.00050245353574546
"Clopper_Pearson",0.05,50000,0.2,0.00333725285522256,0.00384045341684667,-0.00050320056162411
"Wald",0.05,50000,0.2,0.00331697171526952,0.00382033558773252,-0.000503363872463
"Wilson",0.05,50000,0.2,0.00331791665747819,0.00382081456433964,-0.00050289790686145
"Agresti_Coull",0.05,50000,0.25,0.00324858443995727,0.00382144013854185,-0.00057285569858458
"Clopper_Pearson",0.05,50000,0.25,0.00326654814044165,0.00384045341684667,-0.00057390527640502
"Wald",0.05,50000,0.25,0.00324619846078965,0.00382033558773252,-0.00057413712694287
"Wilson",0.05,50000,0.25,0.00324733504308585,0.00382081456433964,-0.00057347952125379
"Agresti_Coull",0.05,1e+05,0.01,0.00268642444057354,0.00270184831683561,-1.54238762620699e-05
"Clopper_Pearson",0.05,1e+05,0.01,0.00269606786579851,0.00271149954673661,-1.54316809381e-05
"Wald",0.05,1e+05,0.01,0.00268602433939852,0.00270145777231742,-1.54334329189e-05
"Wilson",0.05,1e+05,0.01,0.00268619860953028,0.00270162711478498,-1.54285052547001e-05
"Agresti_Coull",0.05,1e+05,0.05,0.00262502073990964,0.00270184831683561,-7.68275769259699e-05
"Clopper_Pearson",0.05,1e+05,0.05,0.00263463031318422,0.00271149954673661,-7.68692335523899e-05
"Wald",0.05,1e+05,0.05,0.00262457924562044,0.00270145777231742,-7.68785266969801e-05
"Wilson",0.05,1e+05,0.05,0.00262477480848926,0.00270162711478498,-7.68523062957198e-05
"Agresti_Coull",0.05,1e+05,0.1,0.00253143684879917,0.00270184831683561,-0.00017041146803644
"Clopper_Pearson",0.05,1e+05,0.1,0.00254099013089197,0.00271149954673661,-0.00017050941584464
"Wald",0.05,1e+05,0.1,0.00253092661093727,0.00270145777231742,-0.00017053116138015
"Wilson",0.05,1e+05,0.1,0.00253115746076941,0.00270162711478498,-0.00017046965401557
"Agresti_Coull",0.05,1e+05,0.2,0.00237145350682775,0.00270184831683561,-0.00033039481000786
"Clopper_Pearson",0.05,1e+05,0.2,0.00238085241344789,0.00271149954673661,-0.00033064713328872
"Wald",0.05,1e+05,0.2,0.0023707556922581,0.00270145777231742,-0.00033070208005932
"Wilson",0.05,1e+05,0.2,0.00237108204487342,0.00270162711478498,-0.00033054506991156
"Agresti_Coull",0.05,1e+05,0.25,0.00227093132979371,0.00270184831683561,-0.0004309169870419
"Clopper_Pearson",0.05,1e+05,0.25,0.00228018885533822,0.00271149954673661,-0.00043131069139839
"Wald",0.05,1e+05,0.25,0.00227005826933268,0.00270145777231742,-0.00043139950298474
"Wilson",0.05,1e+05,0.25,0.00227047614428956,0.00270162711478498,-0.00043115097049542
