"model","p","n","rho","Wald","Clopper_Pearson","Wilson","Agresti_Coull"
"independent",0.001,500,0,0.00274728401418367,0.0091241019023917,0.00918960509310372,0.0107824142035155
"independent",0.001,1000,0,0.00248843310906871,0.00533098058737827,0.00528446902823436,0.00611326764361063
"independent",0.001,2000,0,0.00220048448422725,0.00335101082368919,0.00325634113470663,0.00368673108258358
"independent",0.001,5000,0,0.00167286499064809,0.00196608628170839,0.00187752090058712,0.00202921914536308
"independent",0.001,10000,0,0.00122192240115135,0.00134298841562273,0.00128246725588918,0.00133966006817399
"independent",0.005,500,0,0.010483372656477,0.0145952121841922,0.0140556638994569,0.0157338304865527
"independent",0.005,1000,0,0.00833398177161005,0.00978256025500382,0.00932749392971144,0.0100730043987011
"independent",0.005,2000,0,0.00609999816710278,0.00670013008076059,0.00639317382055707,0.00667440684729011
"independent",0.005,5000,0,0.00389287160358546,0.0041170592034211,0.00396566261722548,0.00403846948150665
"independent",0.005,10000,0,0.00275733414118522,0.00286585645377533,0.00278302867290308,0.00280899280648625
"independent",0.01,500,0,0.0167577810038457,0.0195985882391608,0.0186503960872065,0.0200968805919964
"independent",0.01,1000,0,0.0121821080072276,0.0133696148773386,0.0127444759650718,0.0132945434879597
"independent",0.01,2000,0,0.00865979424240404,0.00922344603132904,0.00885582641230399,0.00905492635670403
"independent",0.01,5000,0,0.00549760098130843,0.00571362187339096,0.0055470292384199,0.00559804443288354
"independent",0.01,10000,0,0.00389799838526446,0.00400364725860437,0.0039154227682163,0.00393350386821193
"independent",0.02,500,0,0.0242000702484105,0.0265264309353132,0.0252357388246162,0.0262922850466999
"independent",0.02,1000,0,0.0172264782207759,0.0183370589140682,0.0175871093847558,0.0179701669572274
"independent",0.02,2000,0,0.012238578803194,0.0127775261212186,0.0123655239853242,0.012502362924777
"independent",0.02,5000,0,0.00775105838306626,0.00796093713390114,0.00778315106455761,0.00781803379982955
"independent",0.02,10000,0,0.005486929453986,0.00559042608749635,0.00549826392352067,0.00551061923630071
"independent",0.05,500,0,0.038018248488364,0.0401282887286533,0.0384977566213579,0.0391073110418239
"independent",0.05,1000,0,0.0269477822294092,0.0279873924841842,0.0271172044674088,0.0273355679607732
"independent",0.05,2000,0,0.0190759958288197,0.0195902248709192,0.0191358960211508,0.0192136185202034
"independent",0.05,5000,0,0.0120796862766839,0.0122833356353049,0.012094822534517,0.012114548894483
"independent",0.05,10000,0,0.0085398279483579,0.00864113089654871,0.00854518463168414,0.00855217269055867
"vasicek",0.001,500,0.01,0.00267227734586911,0.00907903913926911,0.00915013438140066,0.0107418518419662
"vasicek",0.001,500,0.05,0.00257058035026102,0.00902602404729628,0.00910419555515737,0.0106959974152116
"vasicek",0.001,500,0.1,0.00247213878137323,0.00898637512813741,0.00907194628256801,0.0106618323745146
"vasicek",0.001,500,0.2,0.0021492047734963,0.00881001686205791,0.00892238884673505,0.0105026413904392
"vasicek",0.001,500,0.25,0.00209344442275096,0.00879831739642794,0.00891718487351785,0.0104921516350109
"vasicek",0.001,1000,0.01,0.00246235526570202,0.00531733824878618,0.0052730630406058,0.00610004361971049
"vasicek",0.001,1000,0.05,0.00234743438938866,0.00525805701883307,0.00522388194096052,0.00604251975818583
"vasicek",0.001,1000,0.1,0.00212450986426782,0.00512933945396341,0.00511409486936438,0.00592340922239203
"vasicek",0.001,1000,0.2,0.00188443988835834,0.00500936241145023,0.00501742896668789,0.00581317039696041
"vasicek",0.001,1000,0.25,0.00170353660951406,0.00489498973289014,0.00491823096609329,0.00571050327977617
"vasicek",0.001,2000,0.01,0.00217071827862632,0.00333736037297218,0.00324611418720023,0.00367155927162898
"vasicek",0.001,2000,0.05,0.00203345039730449,0.00326238322919318,0.0031852530435871,0.00359755202654937
"vasicek",0.001,2000,0.1,0.00186395196270332,0.00316958336707062,0.00310905974179175,0.0035120409305788
"vasicek",0.001,2000,0.2,0.00154341129721095,0.00297521482139886,0.00294401987095547,0.00333810391494784
"vasicek",0.001,2000,0.25,0.00135758694680736,0.00285239554801028,0.00283612190291666,0.00322903536192119
"vasicek",0.001,5000,0.01,0.00163507603897459,0.00194494070621401,0.0018600663208541,0.00201176691305764
"vasicek",0.001,5000,0.05,0.00148412907114217,0.00184830609604977,0.00177712756636142,0.00192938145042294
"vasicek",0.001,5000,0.1,0.00134191263358363,0.00175675650134395,0.00169880056552565,0.00184976234048791
"vasicek",0.001,5000,0.2,0.00109344730815947,0.00158581357951425,0.00154844986739811,0.00169970160424166
"vasicek",0.001,5000,0.25,0.000991853631317425,0.001519226758521,0.00149074359028143,0.00164147216701621
"vasicek",0.001,10000,0.01,0.00119850202375706,0.00132292791764758,0.00126418565503523,0.00132328922340608
"vasicek",0.001,10000,0.05,0.00111812422627363,0.0012618057611976,0.00120993621797461,0.00127359210887754
"vasicek",0.001,10000,0.1,0.000996447882859937,0.0011675097989299,0.00112449220109608,0.00119162673729057
"vasicek",0.001,10000,0.2,0.000826899933615466,0.0010405837655288,0.00101042111902075,0.0010806347079782
"vasicek",0.001,10000,0.25,0.000739376004741308,0.000975456792312191,0.000951867559850165,0.00102331790523009
"vasicek",0.005,500,0.01,0.0103491367432647,0.0145266060713729,0.0140033733873098,0.0156584375832078
"vasicek",0.005,500,0.05,0.00974380253890856,0.0141912908657686,0.0137282247088838,0.0153433475551914
"vasicek",0.005,500,0.1,0.00899896528021812,0.0137517412812118,0.0133594099987748,0.0149393641575485
"vasicek",0.005,500,0.2,0.00777655874923257,0.0130141879251968,0.0127341486161944,0.0142808371752897
"vasicek",0.005,500,0.25,0.00720390868266256,0.012659523675357,0.0124325070272566,0.0139705307919117
"vasicek",0.005,1000,0.01,0.00814638758504316,0.00966544997197709,0.00922701101372592,0.00997378495258738
"vasicek",0.005,1000,0.05,0.00765625332177402,0.00937895458535912,0.00898913957499941,0.00973416341165401
"vasicek",0.005,1000,0.1,0.00709930983879198,0.00903212928797786,0.00869547751877289,0.00943519533640051
"vasicek",0.005,1000,0.2,0.00605814498536976,0.00833414503600534,0.00808800177695445,0.00882801376175668
"vasicek",0.005,1000,0.25,0.00556422864447205,0.0079927327604858,0.00778718611727638,0.00852812397139684
"vasicek",0.005,2000,0.01,0.00602642347018636,0.00663876025933606,0.00633819464038919,0.00662626640215827
"vasicek",0.005,2000,0.05,0.00565660662077838,0.00634135436197143,0.00606882720468601,0.00637833600730235
"vasicek",0.005,2000,0.1,0.00527311665298309,0.00605540189127997,0.00581432603286928,0.00613882390245439
"vasicek",0.005,2000,0.2,0.00455697571191541,0.0055276155338625,0.00534383988206955,0.00568294276287296
"vasicek",0.005,2000,0.25,0.0042290632516777,0.00528596778792516,0.00512758243118592,0.00547094991546007
"vasicek",0.005,5000,0.01,0.00385212591703833,0.00407720445219694,0.00392743836632162,0.00400248119153517
"vasicek",0.005,5000,0.05,0.00367535328527253,0.00390766252016905,0.00376559008014976,0.00385037600872801
"vasicek",0.005,5000,0.1,0.00347433511949179,0.0037269575099047,0.0035959981305716,0.00369162081862015
"vasicek",0.005,5000,0.2,0.00303445722251696,0.00334783004246615,0.00324152494519737,0.00335332335154229
"vasicek",0.005,5000,0.25,0.00277093022689908,0.00312100570454625,0.00302773860951305,0.00314575058895519
"vasicek",0.005,10000,0.01,0.00273939207694039,0.0028481711596239,0.00276583208628443,0.00279249754050147
"vasicek",0.005,10000,0.05,0.00260167687815346,0.00271212133915172,0.00263265032004336,0.00266333931232607
"vasicek",0.005,10000,0.1,0.00244115159775625,0.00255668741882505,0.00248182188990663,0.00251813377487073
"vasicek",0.005,10000,0.2,0.00215100779821001,0.00228868081706904,0.00222511991910085,0.0022714202540749
"vasicek",0.005,10000,0.25,0.0019841858374283,0.00213744940016892,0.00208030133823908,0.00213079059782326
"vasicek",0.01,500,0.01,0.0164680263451873,0.0194255589373881,0.0185039313621419,0.0199548164009827
"vasicek",0.01,500,0.05,0.0153889480670387,0.0187439911629484,0.0179207047587435,0.0193782091891719
"vasicek",0.01,500,0.1,0.0144130580133623,0.0181402208169233,0.0174105490780771,0.0188639533134791
"vasicek",0.01,500,0.2,0.0124850983763749,0.0168812242127132,0.0163263466781546,0.0177760045939629
"vasicek",0.01,500,0.25,0.0116257277311456,0.0162667108447889,0.0157793529952497,0.0172327540013937
"vasicek",0.01,1000,0.01,0.0120266811335639,0.0132335593457311,0.0126200388039403,0.0131831774854744
"vasicek",0.01,1000,0.05,0.0114359442398405,0.012767644453548,0.012201667682368,0.0128029838400502
"vasicek",0.01,1000,0.1,0.0108632934079304,0.0123561193403915,0.0118420608338527,0.0124655248199428
"vasicek",0.01,1000,0.2,0.00935812508421456,0.0112016427282966,0.0107984199448245,0.011460871127271
"vasicek",0.01,1000,0.25,0.00870566463216156,0.0107210701273336,0.0103695919903346,0.011043795501458
"vasicek",0.01,2000,0.01,0.00860012173173221,0.00916582234784339,0.00880175125841958,0.00900558097602973
"vasicek",0.01,2000,0.05,0.00824517210757105,0.00883075027087447,0.00848521478952082,0.00871169124215571
"vasicek",0.01,2000,0.1,0.00779874081163104,0.00843454897062971,0.0081143993355762,0.00836456010666354
"vasicek",0.01,2000,0.2,0.00690129880719051,0.00768364672413537,0.00741992199422197,0.00770467642710277
"vasicek",0.01,2000,0.25,0.00637480708835971,0.00723501661517697,0.00699935824802577,0.00729697525355795
"vasicek",0.01,5000,0.01,0.00544983318132141,0.00566635699733759,0.00550071299063697,0.00555308775598019
"vasicek",0.01,5000,0.05,0.00526280791034402,0.00548194662202713,0.00532082770190469,0.00537955154662077
"vasicek",0.01,5000,0.1,0.00500231429218849,0.00522878265761603,0.00507494601143864,0.00514281841503569
"vasicek",0.01,5000,0.2,0.00436535489839822,0.00462757737594295,0.00449419896247927,0.00458189863449076
"vasicek",0.01,5000,0.25,0.00413669844478673,0.0044265617678652,0.00430457488805635,0.00439950680477604
"vasicek",0.01,10000,0.01,0.00386821964131844,0.0039740407363212,0.0038861453801427,0.0039047091661464
"vasicek",0.01,10000,0.05,0.00369448938277604,0.00380125536609906,0.00371510300899491,0.00373619217533159
"vasicek",0.01,10000,0.1,0.00356272256450398,0.00367107627261205,0.00358733274795442,0.00361177575769337
"vasicek",0.01,10000,0.2,0.00319345926830734,0.00331274055372644,0.00323700586569537,0.00327037658021745
"vasicek",0.01,10000,0.25,0.00297658442691846,0.00310556012231628,0.00303488537844192,0.00307277569590937
"vasicek",0.02,500,0.01,0.0240187343330543,0.0263752102779461,0.0251011474766617,0.0261761041860597
"vasicek",0.02,500,0.05,0.0230156719398291,0.0255674819585882,0.0243736841027637,0.0255171007831957
"vasicek",0.02,500,0.1,0.0219395602970727,0.0247869763032902,0.0236890625523746,0.0248824414049777
"vasicek",0.02,500,0.2,0.0194874023551092,0.0229317640867471,0.0220243505455856,0.0232855701197815
"vasicek",0.02,500,0.25,0.0183537692355153,0.0221045261011583,0.0212871129367135,0.0225698599264461
"vasicek",0.02,1000,0.01,0.0171504079226625,0.0182640648769706,0.0175195277222915,0.0179097621236161
"vasicek",0.02,1000,0.05,0.0166296736052739,0.0177712951340513,0.0170555018110289,0.0174814370881541
"vasicek",0.02,1000,0.1,0.0158704096136182,0.0170890328951589,0.0164168766289297,0.0168870542102187
"vasicek",0.02,1000,0.2,0.0142556108579446,0.0157195877373554,0.0151460165717889,0.0156797899965582
"vasicek",0.02,1000,0.25,0.0135264245727831,0.0151128839381454,0.0145832772019421,0.0151405492557043
"vasicek",0.02,2000,0.01,0.0121207462533074,0.0126610839260318,0.012251636380485,0.0123920721316486
"vasicek",0.02,2000,0.05,0.0116906730146306,0.0122379212831497,0.0118398176831694,0.011995873982361
"vasicek",0.02,2000,0.1,0.0112924913300762,0.0118553498650459,0.0114723642730398,0.0116472760146906
"vasicek",0.02,2000,0.2,0.0102643627279185,0.0109059157553384,0.0105661678065549,0.0107817223183997
"vasicek",0.02,2000,0.25,0.00954353640211491,0.0102470388421739,0.00993453724137549,0.010169924475226
"vasicek",0.02,5000,0.01,0.00771368977279457,0.00792383529125789,0.00774655409160632,0.00778217397978161
"vasicek",0.02,5000,0.05,0.00745528276177362,0.00766690142071697,0.00749238098785409,0.00753199455306242
"vasicek",0.02,5000,0.1,0.00716199956915551,0.00737614463633563,0.00720581624747952,0.0072513164975615
"vasicek",0.02,5000,0.2,0.00649926293005729,0.00672874048517707,0.00657123426529433,0.00663199420954074
"vasicek",0.02,5000,0.25,0.00621664135840539,0.0064627376938689,0.00631422795382995,0.00638317150877611
"vasicek",0.02,10000,0.01,0.00545086838332632,0.00555446888085874,0.00546250327626162,0.00547514834131165
"vasicek",0.02,10000,0.05,0.0052842026816598,0.00538828992595476,0.00529724437252491,0.00531124118625797
"vasicek",0.02,10000,0.1,0.00504560496884569,0.00515056589479701,0.0050611458216909,0.00507750396038705
"vasicek",0.02,10000,0.2,0.00455397567992183,0.00466317662132279,0.00457859475628879,0.00460127965719728
"vasicek",0.02,10000,0.25,0.00438801138840806,0.00450179773731672,0.00442040210806198,0.00444660670197316
"vasicek",0.05,500,0.01,0.0377122596211256,0.0398283721222413,0.0382081929710841,0.0388315867271069
"vasicek",0.05,500,0.05,0.0368668641805423,0.0390087150365272,0.0374260378639894,0.0380987244828286
"vasicek",0.05,500,0.1,0.0353442544499591,0.0375651090552015,0.0360489341681269,0.0367994191508269
"vasicek",0.05,500,0.2,0.0329946670147057,0.0355042956717443,0.0341261056403638,0.0349925211635498
"vasicek",0.05,500,0.25,0.0314093520813489,0.0341043454719565,0.0328088143097226,0.0337358316419327
"vasicek",0.05,1000,0.01,0.0267739685403488,0.0278154622015062,0.0269486001980082,0.0271716078417068
"vasicek",0.05,1000,0.05,0.0260904862766887,0.0271401438524415,0.0262876389092763,0.0265305443156909
"vasicek",0.05,1000,0.1,0.0252222498765359,0.0262885977282152,0.0254583894794377,0.0257307657289638
"vasicek",0.05,1000,0.2,0.0235651130735355,0.0247080342520295,0.0239343870688086,0.0242701051212906
"vasicek",0.05,1000,0.25,0.0223078727697161,0.0235303335918036,0.0227980205940467,0.0231689445549459
"vasicek",0.05,2000,0.01,0.0189589062546319,0.0194737665686662,0.0190205654860802,0.0190998954415419
"vasicek",0.05,2000,0.05,0.018496604295367,0.0190142553619755,0.0185660705184462,0.0186525391045911
"vasicek",0.05,2000,0.1,0.0178702098263591,0.0183924285335178,0.0179520999929001,0.0180496229555857
"vasicek",0.05,2000,0.2,0.0166388426973182,0.0171834601140823,0.0167659519066361,0.0168920054666982
"vasicek",0.05,2000,0.25,0.0160956580284809,0.0166642963075961,0.0162620335167423,0.0164037878268379
"vasicek",0.05,5000,0.01,0.0120185525559388,0.0122223484651931,0.0120341011097467,0.012054212462825
"vasicek",0.05,5000,0.05,0.0117418823096621,0.0119463560895349,0.0117593387266734,0.0117812292673026
"vasicek",0.05,5000,0.1,0.0113891405079455,0.011594668643878,0.0114095839415115,0.0114342692390639
"vasicek",0.05,5000,0.2,0.0106165940563782,0.0108260781324456,0.0106466552446745,0.0106791059960872
"vasicek",0.05,5000,0.25,0.0101151663502695,0.0103289870773572,0.010154014739907,0.010192156529781
"vasicek",0.05,10000,0.01,0.00849953190608494,0.00860088586278582,0.00850503265811496,0.00851215636429074
"vasicek",0.05,10000,0.05,0.0082669438501198,0.00836855916568159,0.00827317830704835,0.0082809869794207
"vasicek",0.05,10000,0.1,0.00804581025095625,0.00814776177122314,0.00805300051529458,0.00806171347313646
"vasicek",0.05,10000,0.2,0.00746588898053745,0.00756922670715764,0.00747665926575762,0.00748847582248291
"vasicek",0.05,10000,0.25,0.00726643328866265,0.00737081920701909,0.00727959605898955,0.00729325131559736
